         445153 function calls (440351 primitive calls) in 3.247 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      388    0.001    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:1022(<genexpr>)
      221    0.001    0.000    0.001    0.000 /usr/lib/python3.10/sre_parse.py:161(__len__)
      101    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       24    0.001    0.000    0.001    0.000 /usr/lib/python3.10/abc.py:146(update_abstractmethods)
      115    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      102    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       37    0.001    0.000    0.007    0.000 /usr/lib/python3.10/typing.py:1323(__class_getitem__)
      115    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:169(__enter__)
      203    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:391(cached)
      101    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      158    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      180    0.001    0.000    0.001    0.000 /usr/lib/python3.10/sre_parse.py:287(tell)
      102    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      114    0.001    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpcore/_models.py:19(enforce_bytes)
      106    0.001    0.000    0.001    0.000 /usr/lib/python3.10/dataclasses.py:824(_set_new_attribute)
        1    0.001    0.001    0.114    0.114 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/anyio/__init__.py:1(<module>)
      284    0.001    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:1737(cast)
       51    0.000    0.000    0.001    0.000 /usr/lib/python3.10/sre_compile.py:265(_compile_charset)
      101    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       40    0.000    0.000    0.003    0.000 /usr/lib/python3.10/typing.py:1350(__init_subclass__)
       20    0.000    0.000    0.002    0.000 /usr/lib/python3.10/sre_compile.py:560(_compile_info)
      280    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       66    0.000    0.000    0.001    0.000 /usr/lib/python3.10/sre_parse.py:296(_class_escape)
       14    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
