         445860 function calls (441040 primitive calls) in 3.276 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      284    0.001    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_events.py:299(__init__)
      284    0.001    0.000    0.500    0.002 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpcore/_sync/connection_pool.py:401(__iter__)
      284    0.002    0.000    0.497    0.002 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpcore/_sync/http11.py:196(_receive_response_body)
      284    0.001    0.000    0.499    0.002 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpcore/_sync/http11.py:330(__iter__)
      284    0.001    0.000    0.501    0.002 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpx/_transports/default.py:125(__iter__)
      284    0.002    0.000    0.525    0.002 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpx/_models.py:884(iter_bytes)
      284    0.002    0.000    0.506    0.002 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpx/_models.py:935(iter_raw)
      284    0.001    0.000    0.502    0.002 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpx/_client.py:152(__iter__)
      283    0.015    0.000    0.015    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      283    0.001    0.000    0.016    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpx/_decoders.py:95(decode)
  282/168    0.001    0.000    0.002    0.000 /usr/lib/python3.10/typing.py:1037(__hash__)
  281/267    0.001    0.000    0.041    0.000 /usr/lib/python3.10/typing.py:306(inner)
      281    0.000    0.000    0.000    0.000 /usr/lib/python3.10/dataclasses.py:424(<genexpr>)
      280    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      275    0.001    0.000    0.002    0.000 /usr/lib/python3.10/typing.py:137(_type_convert)
      264    0.001    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/typing_extensions.py:154(_should_collect_from_parameters)
      264    0.001    0.000    0.003    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/typing_extensions.py:2976(_is_unpacked_typevartuple)
      264    0.002    0.000    0.003    0.000 /usr/lib/python3.10/typing.py:1902(get_origin)
      256    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      255    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      254    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      234    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      232    0.003    0.000    0.008    0.000 /usr/lib/python3.10/typing.py:146(_type_check)
